sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.3469;-9.3799;1.2863;1005;2021-05-03 15:09:38:297
2.6827;-9.4373;0.9499;1055;2021-05-03 15:09:38:347
2.5899;-9.5277;0.4902;1105;2021-05-03 15:09:38:397
2.5899;-9.5277;0.4902;1155;2021-05-03 15:09:38:447
2.1506;-9.6229;0.0042;1205;2021-05-03 15:09:38:497
1.9172;-9.5451;-0.4298;1255;2021-05-03 15:09:38:547
1.9172;-9.5451;-0.4298;1305;2021-05-03 15:09:38:597
2.2835;-9.5846;0.079;1354;2021-05-03 15:09:38:646
2.3954;-9.5523;0.598;1404;2021-05-03 15:09:38:696
2.478;-9.4864;0.7344;1455;2021-05-03 15:09:38:747
2.478;-9.4864;0.7344;1505;2021-05-03 15:09:38:797
2.1584;-9.5038;0.5896;1555;2021-05-03 15:09:38:847
2.1308;-9.6043;0.3298;1605;2021-05-03 15:09:38:897
2.1308;-9.6043;0.3298;1655;2021-05-03 15:09:38:947
2.3912;-9.599;0.0874;1704;2021-05-03 15:09:38:996
2.0399;-9.5253;0.003;1755;2021-05-03 15:09:39:047
1.7903;-9.818;0.1532;1805;2021-05-03 15:09:39:097
1.7903;-9.818;0.1532;1855;2021-05-03 15:09:39:147
2.0853;-9.3715;0.3124;1905;2021-05-03 15:09:39:197
2.077;-9.5152;0.3442;1955;2021-05-03 15:09:39:247
2.077;-9.5152;0.3442;2005;2021-05-03 15:09:39:297
2.1296;-9.5523;0.2035;2055;2021-05-03 15:09:39:347
2.3906;-9.648;0.067;2105;2021-05-03 15:09:39:397
2.4277;-9.3194;-0.0269;2155;2021-05-03 15:09:39:447
2.4277;-9.3194;-0.0269;2205;2021-05-03 15:09:39:497
1.6526;-9.0184;-0.0784;2255;2021-05-03 15:09:39:547
0.9451;-10.2328;0.0257;2305;2021-05-03 15:09:39:597
0.9451;-10.2328;0.0257;2355;2021-05-03 15:09:39:647
1.5951;-9.6283;0.167;2405;2021-05-03 15:09:39:697
1.6275;-9.7109;0.234;2455;2021-05-03 15:09:39:747
1.0403;-9.7815;0.3166;2505;2021-05-03 15:09:39:797
1.0403;-9.7815;0.3166;2555;2021-05-03 15:09:39:847
0.9194;-9.7408;0.346;2604;2021-05-03 15:09:39:896
0.7949;-9.7474;0.3352;2655;2021-05-03 15:09:39:947
0.7949;-9.7474;0.3352;2705;2021-05-03 15:09:39:997
0.7344;-9.733;0.1018;2755;2021-05-03 15:09:40:047
0.6434;-9.9258;0.0437;2805;2021-05-03 15:09:40:097
0.7997;-9.7474;0.2215;2855;2021-05-03 15:09:40:147
0.7997;-9.7474;0.2215;2904;2021-05-03 15:09:40:196
1.1504;-9.7773;0.4615;2955;2021-05-03 15:09:40:247
0.7494;-9.5331;0.5381;3005;2021-05-03 15:09:40:297
0.7494;-9.5331;0.5381;3055;2021-05-03 15:09:40:347
0.4519;-9.73;0.5345;3105;2021-05-03 15:09:40:397
0.0958;-10.1795;0.4639;3155;2021-05-03 15:09:40:447
0.0958;-10.1795;0.4639;3204;2021-05-03 15:09:40:496
-0.0982;-9.7749;0.3059;3255;2021-05-03 15:09:40:547
0.3256;-9.8264;0.3681;3304;2021-05-03 15:09:40:596
1.2157;-9.7486;0.5052;3355;2021-05-03 15:09:40:647
1.2157;-9.7486;0.5052;3405;2021-05-03 15:09:40:697
0.735;-9.9653;0.2017;3455;2021-05-03 15:09:40:747
0.3549;-9.9018;-0.1933;3505;2021-05-03 15:09:40:797
0.3549;-9.9018;-0.1933;3555;2021-05-03 15:09:40:847
1.3276;-9.6857;0.2358;3605;2021-05-03 15:09:40:897
1.4862;-9.7139;0.6566;3655;2021-05-03 15:09:40:947
1.0151;-9.7546;0.3855;3705;2021-05-03 15:09:40:997
1.0151;-9.7546;0.3855;3755;2021-05-03 15:09:41:047
1.8058;-9.5146;0.2747;3805;2021-05-03 15:09:41:097
1.2809;-9.7725;0.2448;3854;2021-05-03 15:09:41:146
1.2809;-9.7725;0.2448;3905;2021-05-03 15:09:41:197
1.1869;-9.5942;0.4022;3955;2021-05-03 15:09:41:247
1.6795;-9.6468;0.574;4005;2021-05-03 15:09:41:297
1.476;-9.663;0.3585;4054;2021-05-03 15:09:41:346
1.476;-9.663;0.3585;4105;2021-05-03 15:09:41:397
1.2354;-9.6726;0.1006;4155;2021-05-03 15:09:41:447
1.6562;-9.7671;0.1035;4205;2021-05-03 15:09:41:497
1.6562;-9.7671;0.1035;4255;2021-05-03 15:09:41:547
1.6682;-9.5002;0.3238;4305;2021-05-03 15:09:41:597
1.5137;-9.827;0.4483;4355;2021-05-03 15:09:41:647
1.828;-9.5738;0.3106;4405;2021-05-03 15:09:41:697
1.828;-9.5738;0.3106;4455;2021-05-03 15:09:41:747
1.585;-9.6899;0.3561;4505;2021-05-03 15:09:41:797
1.2402;-9.6911;0.3508;4555;2021-05-03 15:09:41:847
1.2402;-9.6911;0.3508;4605;2021-05-03 15:09:41:897
1.4557;-9.7031;0.343;4655;2021-05-03 15:09:41:947
1.3659;-9.6708;0.2741;4705;2021-05-03 15:09:41:997
1.7041;-9.7187;0.4112;4755;2021-05-03 15:09:42:047
1.7041;-9.7187;0.4112;4804;2021-05-03 15:09:42:096
1.6382;-9.5756;0.5285;4854;2021-05-03 15:09:42:146
1.2947;-9.6947;0.4351;4905;2021-05-03 15:09:42:197
1.2947;-9.6947;0.4351;4955;2021-05-03 15:09:42:247
1.3515;-9.7348;0.2747;5005;2021-05-03 15:09:42:297
1.6556;-9.6007;0.4244;5055;2021-05-03 15:09:42:347
1.2749;-9.7414;0.4507;5105;2021-05-03 15:09:42:397
1.2749;-9.7414;0.4507;5155;2021-05-03 15:09:42:447
1.2821;-9.6708;0.3071;5205;2021-05-03 15:09:42:497
1.3988;-9.6564;0.3418;5254;2021-05-03 15:09:42:546
1.3988;-9.6564;0.3418;5305;2021-05-03 15:09:42:597
1.4;-9.6953;0.41;5355;2021-05-03 15:09:42:647
1.4317;-9.7055;0.3825;5404;2021-05-03 15:09:42:696
1.5676;-9.6211;0.4615;5455;2021-05-03 15:09:42:747
1.5676;-9.6211;0.4615;5505;2021-05-03 15:09:42:797
1.6969;-9.7049;0.577;5555;2021-05-03 15:09:42:847
1.5239;-9.6426;0.5315;5605;2021-05-03 15:09:42:897
1.5239;-9.6426;0.5315;5655;2021-05-03 15:09:42:947
1.4042;-9.666;0.4645;5705;2021-05-03 15:09:42:997
1.4742;-9.7252;0.504;5755;2021-05-03 15:09:43:047
1.3844;-9.6827;0.501;5805;2021-05-03 15:09:43:097
1.3844;-9.6827;0.501;5855;2021-05-03 15:09:43:147
1.5048;-9.6468;0.5387;5905;2021-05-03 15:09:43:197
1.6676;-9.6923;0.6829;5955;2021-05-03 15:09:43:247
1.6676;-9.6923;0.6829;6005;2021-05-03 15:09:43:297
1.2444;-9.6115;0.6075;6055;2021-05-03 15:09:43:347
1.303;-9.8348;0.1059;6105;2021-05-03 15:09:43:397
1.303;-9.8348;0.1059;6155;2021-05-03 15:09:43:447
1.646;-9.6199;0.2077;6205;2021-05-03 15:09:43:497
1.4742;-9.6253;0.6033;6255;2021-05-03 15:09:43:547
1.3569;-9.7127;0.4687;6305;2021-05-03 15:09:43:597
1.3569;-9.7127;0.4687;6354;2021-05-03 15:09:43:646
1.1893;-9.7217;0.1867;6405;2021-05-03 15:09:43:697
1.4766;-9.6792;0.3071;6455;2021-05-03 15:09:43:747
1.4766;-9.6792;0.3071;6505;2021-05-03 15:09:43:797
1.6382;-9.6792;0.4375;6555;2021-05-03 15:09:43:847
1.3838;-9.7019;0.2269;6606;2021-05-03 15:09:43:898
1.227;-9.6995;0.0485;6655;2021-05-03 15:09:43:947
1.227;-9.6995;0.0485;6705;2021-05-03 15:09:43:997
1.1839;-9.7109;0.2298;6755;2021-05-03 15:09:44:047
1.4838;-9.6612;0.4411;6805;2021-05-03 15:09:44:097
1.4838;-9.6612;0.4411;6855;2021-05-03 15:09:44:147
1.494;-9.6738;0.4124;6905;2021-05-03 15:09:44:197
1.3384;-9.6385;0.2364;6955;2021-05-03 15:09:44:247
1.4575;-9.763;0.2274;7005;2021-05-03 15:09:44:297
1.4575;-9.763;0.2274;7055;2021-05-03 15:09:44:347
1.6466;-9.6582;0.413;7105;2021-05-03 15:09:44:397
1.4096;-9.6839;0.4962;7155;2021-05-03 15:09:44:447
1.4096;-9.6839;0.4962;7205;2021-05-03 15:09:44:497
1.3156;-9.6881;0.349;7255;2021-05-03 15:09:44:547
1.4551;-9.6768;0.3095;7305;2021-05-03 15:09:44:597
1.4305;-9.7145;0.4028;7355;2021-05-03 15:09:44:647
1.4305;-9.7145;0.4028;7405;2021-05-03 15:09:44:697
1.3958;-9.6696;0.3938;7455;2021-05-03 15:09:44:747
1.4455;-9.6917;0.4094;7505;2021-05-03 15:09:44:797
1.4455;-9.6917;0.4094;7555;2021-05-03 15:09:44:847
1.4676;-9.6881;0.3956;7604;2021-05-03 15:09:44:896
1.4982;-9.7001;0.3909;7654;2021-05-03 15:09:44:946
1.4162;-9.6486;0.331;7705;2021-05-03 15:09:44:997
1.4162;-9.6486;0.331;7755;2021-05-03 15:09:45:047
1.3809;-9.7294;0.3089;7805;2021-05-03 15:09:45:097
1.4413;-9.672;0.3059;7855;2021-05-03 15:09:45:147
1.4413;-9.672;0.3059;7905;2021-05-03 15:09:45:197
1.4192;-9.6851;0.3274;7955;2021-05-03 15:09:45:247
1.3671;-9.6935;0.3059;8005;2021-05-03 15:09:45:297
1.424;-9.6618;0.3095;8054;2021-05-03 15:09:45:346
1.424;-9.6618;0.3095;8105;2021-05-03 15:09:45:397
1.3737;-9.6983;0.3286;8155;2021-05-03 15:09:45:447
1.491;-9.7097;0.3166;8205;2021-05-03 15:09:45:497
1.491;-9.7097;0.3166;8255;2021-05-03 15:09:45:547
1.5006;-9.6744;0.3831;8305;2021-05-03 15:09:45:597
1.3994;-9.6612;0.3909;8355;2021-05-03 15:09:45:647
1.4551;-9.6714;0.3615;8405;2021-05-03 15:09:45:697
1.4551;-9.6714;0.3615;8455;2021-05-03 15:09:45:747
1.4006;-9.7169;0.343;8505;2021-05-03 15:09:45:797
1.3946;-9.6917;0.2795;8555;2021-05-03 15:09:45:847
1.3946;-9.6917;0.2795;8605;2021-05-03 15:09:45:897
1.4287;-9.6684;0.325;8655;2021-05-03 15:09:45:947
1.3527;-9.6977;0.4034;8705;2021-05-03 15:09:45:997
1.394;-9.6917;0.3448;8755;2021-05-03 15:09:46:047
1.394;-9.6917;0.3448;8805;2021-05-03 15:09:46:097
1.4036;-9.6953;0.2777;8855;2021-05-03 15:09:46:147
1.3593;-9.6929;0.3358;8905;2021-05-03 15:09:46:197
1.3593;-9.6929;0.3358;8954;2021-05-03 15:09:46:246
1.4078;-9.6983;0.4322;9005;2021-05-03 15:09:46:297
1.2983;-9.6929;0.3256;9055;2021-05-03 15:09:46:347
1.4838;-9.6953;0.34;9105;2021-05-03 15:09:46:397
1.4838;-9.6953;0.34;9154;2021-05-03 15:09:46:446
1.424;-9.6839;0.4262;9205;2021-05-03 15:09:46:497
1.2881;-9.6977;0.3364;9255;2021-05-03 15:09:46:547
1.2881;-9.6977;0.3364;9305;2021-05-03 15:09:46:597
1.3982;-9.6983;0.2628;9355;2021-05-03 15:09:46:647
1.5119;-9.6624;0.3921;9404;2021-05-03 15:09:46:696
1.5119;-9.6624;0.3921;9455;2021-05-03 15:09:46:747
1.3946;-9.7091;0.3795;9505;2021-05-03 15:09:46:797
1.303;-9.6899;0.2544;9555;2021-05-03 15:09:46:847
1.4365;-9.7001;0.2843;9604;2021-05-03 15:09:46:896
1.4365;-9.7001;0.2843;9655;2021-05-03 15:09:46:947
1.4353;-9.6738;0.3621;9705;2021-05-03 15:09:46:997
1.3922;-9.6839;0.3615;9755;2021-05-03 15:09:47:047
1.3922;-9.6839;0.3615;9805;2021-05-03 15:09:47:097
1.3988;-9.6953;0.2975;9855;2021-05-03 15:09:47:147
1.3449;-9.7127;0.2562;9905;2021-05-03 15:09:47:197
1.4467;-9.66;0.3106;9955;2021-05-03 15:09:47:247
1.4467;-9.66;0.3106;10005;2021-05-03 15:09:47:297
1.3833;-9.6929;0.4178;10055;2021-05-03 15:09:47:347
1.4425;-9.6726;0.2849;10105;2021-05-03 15:09:47:397
1.4425;-9.6726;0.2849;10155;2021-05-03 15:09:47:447
1.4575;-9.6822;0.2203;10205;2021-05-03 15:09:47:497
1.3761;-9.73;0.2807;10255;2021-05-03 15:09:47:547
1.5167;-9.6486;0.3537;10305;2021-05-03 15:09:47:597
1.5167;-9.6486;0.3537;10355;2021-05-03 15:09:47:647
1.3384;-9.7139;0.2885;10404;2021-05-03 15:09:47:696
1.4611;-9.6875;0.2771;10455;2021-05-03 15:09:47:747
1.4611;-9.6875;0.2771;10505;2021-05-03 15:09:47:797
1.4569;-9.663;0.3621;10555;2021-05-03 15:09:47:847
1.3396;-9.7043;0.2873;10605;2021-05-03 15:09:47:897
1.4916;-9.7073;0.2292;10654;2021-05-03 15:09:47:946
1.4916;-9.7073;0.2292;10705;2021-05-03 15:09:47:997
1.4317;-9.6648;0.2999;10755;2021-05-03 15:09:48:047
1.4808;-9.6804;0.3801;10805;2021-05-03 15:09:48:097
1.4808;-9.6804;0.3801;10855;2021-05-03 15:09:48:147
1.4371;-9.681;0.2945;10905;2021-05-03 15:09:48:197
1.4126;-9.6738;0.2502;10955;2021-05-03 15:09:48:247
1.3952;-9.7043;0.2616;11005;2021-05-03 15:09:48:297
1.3952;-9.7043;0.2616;11055;2021-05-03 15:09:48:347
1.3833;-9.7127;0.234;11105;2021-05-03 15:09:48:397
1.5383;-9.6474;0.2771;11155;2021-05-03 15:09:48:447
1.5383;-9.6474;0.2771;11204;2021-05-03 15:09:48:496
1.4317;-9.6917;0.3496;11255;2021-05-03 15:09:48:547
1.3425;-9.6995;0.2981;11305;2021-05-03 15:09:48:597
1.3563;-9.7031;0.2789;11355;2021-05-03 15:09:48:647
1.3563;-9.7031;0.2789;11405;2021-05-03 15:09:48:697
1.5514;-9.6672;0.3047;11455;2021-05-03 15:09:48:747
1.4;-9.6947;0.2406;11505;2021-05-03 15:09:48:797
1.4;-9.6947;0.2406;11554;2021-05-03 15:09:48:846
1.3509;-9.6947;0.2634;11605;2021-05-03 15:09:48:897
1.4796;-9.672;0.3466;11655;2021-05-03 15:09:48:947
1.4724;-9.6965;0.2795;11705;2021-05-03 15:09:48:997
1.4724;-9.6965;0.2795;11755;2021-05-03 15:09:49:047
1.4114;-9.6839;0.2628;11804;2021-05-03 15:09:49:096
1.4317;-9.6965;0.3083;11855;2021-05-03 15:09:49:147
1.4317;-9.6965;0.3083;11905;2021-05-03 15:09:49:197
1.3467;-9.6917;0.2729;11955;2021-05-03 15:09:49:247
1.5485;-9.6486;0.3621;12005;2021-05-03 15:09:49:297
1.5485;-9.6486;0.3621;12054;2021-05-03 15:09:49:346
1.4772;-9.6804;0.3525;12105;2021-05-03 15:09:49:397
1.3288;-9.6977;0.1766;12154;2021-05-03 15:09:49:446
1.3791;-9.7001;0.1975;12205;2021-05-03 15:09:49:497
1.3791;-9.7001;0.1975;12255;2021-05-03 15:09:49:547
1.4784;-9.6995;0.3071;12305;2021-05-03 15:09:49:597
1.4641;-9.6744;0.3106;12355;2021-05-03 15:09:49:647
1.4641;-9.6744;0.3106;12405;2021-05-03 15:09:49:697
1.4246;-9.6983;0.2825;12455;2021-05-03 15:09:49:747
1.3892;-9.6851;0.2849;12505;2021-05-03 15:09:49:797
1.4952;-9.6768;0.3376;12555;2021-05-03 15:09:49:847
1.4952;-9.6768;0.3376;12605;2021-05-03 15:09:49:897
1.5856;-9.6331;0.4621;12655;2021-05-03 15:09:49:947
1.3138;-9.7294;0.249;12705;2021-05-03 15:09:49:997
1.3138;-9.7294;0.249;12755;2021-05-03 15:09:50:047
1.3844;-9.7055;0.0904;12805;2021-05-03 15:09:50:097
1.4814;-9.6714;0.316;12855;2021-05-03 15:09:50:147
1.4862;-9.6935;0.4328;12905;2021-05-03 15:09:50:197
1.4862;-9.6935;0.4328;12955;2021-05-03 15:09:50:247
1.4958;-9.6923;0.3615;13005;2021-05-03 15:09:50:297
1.4862;-9.6642;0.2693;13055;2021-05-03 15:09:50:347
1.4862;-9.6642;0.2693;13105;2021-05-03 15:09:50:397
1.5341;-9.6792;0.2795;13155;2021-05-03 15:09:50:447
1.4467;-9.6768;0.3214;13205;2021-05-03 15:09:50:497
1.3455;-9.7061;0.2532;13255;2021-05-03 15:09:50:547
1.3455;-9.7061;0.2532;13305;2021-05-03 15:09:50:597
1.4988;-9.6905;0.264;13355;2021-05-03 15:09:50:647
1.3557;-9.6594;0.2245;13405;2021-05-03 15:09:50:697
1.3557;-9.6594;0.2245;13455;2021-05-03 15:09:50:747
1.4419;-9.6923;0.255;13505;2021-05-03 15:09:50:797
1.4641;-9.6887;0.3059;13555;2021-05-03 15:09:50:847
1.4629;-9.672;0.2963;13605;2021-05-03 15:09:50:897
1.4629;-9.672;0.2963;13655;2021-05-03 15:09:50:947
1.4904;-9.6822;0.2873;13705;2021-05-03 15:09:50:997
1.424;-9.6953;0.2131;13754;2021-05-03 15:09:51:046
1.424;-9.6953;0.2131;13804;2021-05-03 15:09:51:096
1.3928;-9.7115;0.1263;13855;2021-05-03 15:09:51:147
1.5754;-9.6827;0.3346;13905;2021-05-03 15:09:51:197
1.3988;-9.6522;0.4268;13955;2021-05-03 15:09:51:247
1.3988;-9.6522;0.4268;14004;2021-05-03 15:09:51:296
1.3078;-9.7312;0.1975;14055;2021-05-03 15:09:51:347
1.4317;-9.6905;0.1215;14105;2021-05-03 15:09:51:397
1.4317;-9.6905;0.1215;14155;2021-05-03 15:09:51:447
1.4928;-9.6528;0.3232;14205;2021-05-03 15:09:51:497
1.2851;-9.7366;0.2676;14255;2021-05-03 15:09:51:547
1.3671;-9.6822;0.1155;14305;2021-05-03 15:09:51:597
1.3671;-9.6822;0.1155;14355;2021-05-03 15:09:51:647
1.4162;-9.6947;0.1832;14405;2021-05-03 15:09:51:697
1.3653;-9.7049;0.2885;14455;2021-05-03 15:09:51:747
1.3653;-9.7049;0.2885;14505;2021-05-03 15:09:51:797
1.2881;-9.6935;0.2071;14555;2021-05-03 15:09:51:847
1.3288;-9.6863;0.1532;14605;2021-05-03 15:09:51:897
1.5006;-9.7145;0.2484;14655;2021-05-03 15:09:51:947
1.5006;-9.7145;0.2484;14704;2021-05-03 15:09:51:996
1.6472;-9.5864;0.4675;14755;2021-05-03 15:09:52:047
1.3276;-9.739;0.2568;14805;2021-05-03 15:09:52:097
1.3276;-9.739;0.2568;14855;2021-05-03 15:09:52:147
1.2121;-9.6744;-0.0221;14905;2021-05-03 15:09:52:197
1.4401;-9.7241;0.0826;14955;2021-05-03 15:09:52:247
1.4629;-9.6762;0.2562;15005;2021-05-03 15:09:52:297
1.4629;-9.6762;0.2562;15055;2021-05-03 15:09:52:347
1.3126;-9.7414;0.234;15105;2021-05-03 15:09:52:397
1.5311;-9.6816;0.2197;15155;2021-05-03 15:09:52:447
1.5311;-9.6816;0.2197;15205;2021-05-03 15:09:52:497
1.5664;-9.6588;0.3226;15255;2021-05-03 15:09:52:547
1.4521;-9.7223;0.3041;15305;2021-05-03 15:09:52:597
1.4521;-9.7223;0.3041;15355;2021-05-03 15:09:52:647
1.3731;-9.6648;0.2424;15405;2021-05-03 15:09:52:697
1.3719;-9.6672;0.2855;15455;2021-05-03 15:09:52:747
1.3761;-9.7408;0.2257;15505;2021-05-03 15:09:52:797
1.3761;-9.7408;0.2257;15554;2021-05-03 15:09:52:846
1.4736;-9.6768;0.2251;15605;2021-05-03 15:09:52:897
1.3431;-9.6636;0.3136;15655;2021-05-03 15:09:52:947
1.3431;-9.6636;0.3136;15705;2021-05-03 15:09:52:997
1.2965;-9.7145;0.2921;15754;2021-05-03 15:09:53:046
1.4862;-9.645;0.2687;15805;2021-05-03 15:09:53:097
1.4712;-9.6774;0.2783;15855;2021-05-03 15:09:53:147
1.4712;-9.6774;0.2783;15905;2021-05-03 15:09:53:197
1.5167;-9.6732;0.2394;15955;2021-05-03 15:09:53:247
1.4515;-9.73;0.1867;16005;2021-05-03 15:09:53:297
1.4515;-9.73;0.1867;16055;2021-05-03 15:09:53:347
1.5233;-9.6804;0.2753;16105;2021-05-03 15:09:53:397
1.4138;-9.6816;0.3645;16154;2021-05-03 15:09:53:446
1.3162;-9.6786;0.3184;16204;2021-05-03 15:09:53:496
1.3162;-9.6786;0.3184;16255;2021-05-03 15:09:53:547
1.4305;-9.6732;0.3184;16305;2021-05-03 15:09:53:597
1.5622;-9.7528;0.4304;16355;2021-05-03 15:09:53:647
1.5622;-9.7528;0.4304;16405;2021-05-03 15:09:53:697
1.5574;-9.5277;0.4507;16455;2021-05-03 15:09:53:747
1.3737;-9.8144;0.258;16505;2021-05-03 15:09:53:797
1.2761;-9.7007;0.0263;16555;2021-05-03 15:09:53:847
1.2761;-9.7007;0.0263;16605;2021-05-03 15:09:53:897
1.5143;-9.7043;0.3573;16655;2021-05-03 15:09:53:947
1.4246;-9.6624;0.5644;16705;2021-05-03 15:09:53:997
1.4246;-9.6624;0.5644;16755;2021-05-03 15:09:54:047
1.4766;-9.6714;0.3992;16805;2021-05-03 15:09:54:097
1.5131;-9.7001;0.2107;16855;2021-05-03 15:09:54:147
1.3635;-9.6786;0.2508;16905;2021-05-03 15:09:54:197
1.3635;-9.6786;0.2508;16954;2021-05-03 15:09:54:246
1.3833;-9.6881;0.3555;17005;2021-05-03 15:09:54:297
1.5215;-9.6552;0.2316;17055;2021-05-03 15:09:54:347
1.5215;-9.6552;0.2316;17105;2021-05-03 15:09:54:397
1.491;-9.666;0.1299;17155;2021-05-03 15:09:54:447
1.4605;-9.727;0.2041;17205;2021-05-03 15:09:54:497
1.5389;-9.645;0.3376;17255;2021-05-03 15:09:54:547
1.5389;-9.645;0.3376;17305;2021-05-03 15:09:54:597
1.4192;-9.6869;0.2693;17355;2021-05-03 15:09:54:647
1.4629;-9.7223;0.2598;17405;2021-05-03 15:09:54:697
1.4629;-9.7223;0.2598;17455;2021-05-03 15:09:54:747
1.5574;-9.6678;0.3621;17504;2021-05-03 15:09:54:796
1.4216;-9.6391;0.2562;17555;2021-05-03 15:09:54:847
1.5993;-9.6672;0.2029;17605;2021-05-03 15:09:54:897
1.5993;-9.6672;0.2029;17655;2021-05-03 15:09:54:947
1.5485;-9.6534;0.2927;17705;2021-05-03 15:09:54:997
1.4329;-9.6899;0.1754;17755;2021-05-03 15:09:55:047
1.4329;-9.6899;0.1754;17805;2021-05-03 15:09:55:097
1.6801;-9.6636;0.2634;17855;2021-05-03 15:09:55:147
1.5628;-9.6432;0.2556;17905;2021-05-03 15:09:55:197
1.5874;-9.6738;0.1832;17955;2021-05-03 15:09:55:247
1.5874;-9.6738;0.1832;18005;2021-05-03 15:09:55:297
1.6418;-9.6953;0.2999;18054;2021-05-03 15:09:55:346
1.5574;-9.6007;0.4232;18105;2021-05-03 15:09:55:397
1.5574;-9.6007;0.4232;18155;2021-05-03 15:09:55:447
1.5652;-9.7109;0.3597;18205;2021-05-03 15:09:55:497
1.6155;-9.648;0.249;18255;2021-05-03 15:09:55:547
1.6155;-9.648;0.249;18305;2021-05-03 15:09:55:597
1.585;-9.6426;0.2628;18355;2021-05-03 15:09:55:647
1.5664;-9.6923;0.4004;18405;2021-05-03 15:09:55:697
1.5269;-9.6325;0.3472;18455;2021-05-03 15:09:55:747
1.5269;-9.6325;0.3472;18505;2021-05-03 15:09:55:797
1.5658;-9.6756;0.395;18555;2021-05-03 15:09:55:847
1.4694;-9.6361;0.349;18605;2021-05-03 15:09:55:897
1.4694;-9.6361;0.349;18655;2021-05-03 15:09:55:947
1.5772;-9.681;0.2969;18705;2021-05-03 15:09:55:997
1.6299;-9.6983;0.3442;18755;2021-05-03 15:09:56:047
1.4659;-9.66;0.2993;18805;2021-05-03 15:09:56:097
1.4659;-9.66;0.2993;18855;2021-05-03 15:09:56:147
1.5987;-9.599;0.4064;18905;2021-05-03 15:09:56:197
1.3838;-9.7414;0.3944;18954;2021-05-03 15:09:56:246
1.3838;-9.7414;0.3944;19006;2021-05-03 15:09:56:298
1.5766;-9.4415;0.3753;19055;2021-05-03 15:09:56:347
1.8687;-9.9677;0.4735;19105;2021-05-03 15:09:56:397
1.4479;-9.6881;0.3795;19155;2021-05-03 15:09:56:447
1.4479;-9.6881;0.3795;19205;2021-05-03 15:09:56:497
1.555;-9.5547;0.2963;19255;2021-05-03 15:09:56:547
1.4305;-9.6947;0.4232;19305;2021-05-03 15:09:56:597
1.4305;-9.6947;0.4232;19355;2021-05-03 15:09:56:647
1.4563;-9.6786;0.3938;19404;2021-05-03 15:09:56:696
1.3611;-9.6905;0.2664;19454;2021-05-03 15:09:56:746
1.479;-9.6528;0.2442;19505;2021-05-03 15:09:56:797
1.479;-9.6528;0.2442;19554;2021-05-03 15:09:56:846
1.6514;-9.6857;0.3502;19604;2021-05-03 15:09:56:896
1.5676;-9.6738;0.4178;19655;2021-05-03 15:09:56:947
1.5676;-9.6738;0.4178;19705;2021-05-03 15:09:56:997
1.4736;-9.681;0.3903;19755;2021-05-03 15:09:57:047
1.4605;-9.6409;0.4046;19805;2021-05-03 15:09:57:097
1.5263;-9.6875;0.395;19855;2021-05-03 15:09:57:147
1.5263;-9.6875;0.395;19905;2021-05-03 15:09:57:197
1.4928;-9.6624;0.313;19955;2021-05-03 15:09:57:247
1.4126;-9.6959;0.2753;20005;2021-05-03 15:09:57:297
1.4126;-9.6959;0.2753;20055;2021-05-03 15:09:57:347
1.3252;-9.6822;0.2586;20105;2021-05-03 15:09:57:397
1.5658;-9.6588;0.349;20155;2021-05-03 15:09:57:447
1.6328;-9.6768;0.4088;20205;2021-05-03 15:09:57:497
1.6328;-9.6768;0.4088;20255;2021-05-03 15:09:57:547
1.4377;-9.6732;0.413;20305;2021-05-03 15:09:57:597
1.3443;-9.7013;0.3729;20355;2021-05-03 15:09:57:647
1.3443;-9.7013;0.3729;20405;2021-05-03 15:09:57:697
1.4162;-9.6977;0.3591;20455;2021-05-03 15:09:57:747
1.4617;-9.6744;0.4351;20505;2021-05-03 15:09:57:797
1.4317;-9.6738;0.4495;20555;2021-05-03 15:09:57:847
1.4317;-9.6738;0.4495;20605;2021-05-03 15:09:57:897
1.3856;-9.7079;0.4543;20655;2021-05-03 15:09:57:947
1.4042;-9.6756;0.4495;20705;2021-05-03 15:09:57:997
1.4042;-9.6756;0.4495;20754;2021-05-03 15:09:58:046
1.388;-9.6618;0.4334;20805;2021-05-03 15:09:58:097
1.3761;-9.6935;0.4064;20855;2021-05-03 15:09:58:147
1.3946;-9.6863;0.3747;20905;2021-05-03 15:09:58:197
1.3946;-9.6863;0.3747;20955;2021-05-03 15:09:58:247
1.4186;-9.6816;0.4369;21005;2021-05-03 15:09:58:297
1.2929;-9.666;0.4741;21055;2021-05-03 15:09:58:347
1.2929;-9.666;0.4741;21105;2021-05-03 15:09:58:397
1.2031;-9.7145;0.4615;21155;2021-05-03 15:09:58:447
1.1971;-9.73;0.3974;21205;2021-05-03 15:09:58:497
1.1971;-9.73;0.3974;21255;2021-05-03 15:09:58:547
1.3348;-9.6786;0.4214;21305;2021-05-03 15:09:58:597
1.3653;-9.6959;0.4878;21354;2021-05-03 15:09:58:646
1.312;-9.6881;0.5219;21404;2021-05-03 15:09:58:696
1.312;-9.6881;0.5219;21455;2021-05-03 15:09:58:747
1.2522;-9.6929;0.5716;21505;2021-05-03 15:09:58:797
1.1893;-9.763;0.5249;21555;2021-05-03 15:09:58:847
